GeneName	rank
RPPH1	10.9310768107011
SNORD115-12	10.7242156530627
SNORD115-9	10.1481159167023
SNORD16	7.7110123205863
RNU1-27P	7.5889441632831
SNORD94	7.50782467598758
SNORD89	7.40671478855602
SNORD99	7.36003573287557
RNU1-4	7.32557399402769
SNORA80E	7.26164940298478
RN7SL3	7.15477993429475
RNVU1-29	7.13149245305325
RNU1-2	7.11634324183086
KIAA1217	6.88456839390681
SNORA75	6.87716434361618
SNORD49A	6.76230619006885
SNORA81	6.53664538723095
SNORD73A	6.49083501858316
SNORA44	6.42054017294855
SNORD116-9	6.32012088929068
SNORD83A	6.30284476093788
HSPA1A	6.28138985216726
RN7SL1	6.22998118346656
HSPA6	6.20655523291497
SNORD14E	6.17478010818383
TMEM107	6.14071952050353
SNORD116-3	6.03978779777206
SCARNA2	6.03534066049738
SNORD12	5.79943172940141
RN7SL2	5.7952565322332
SNORD83B	5.73296369621136
SNORD14C	5.62043493070364
SNORD116-26	5.5951211825805
RNU2-36P	5.58842102824242
SNORA57	5.54410857706674
SNORD55	5.44193125963261
SNORD115-2	5.4171473133855
SNORD14D	5.3472175118237
SNORD116-6	5.33941097982285
SNORD116-2	5.33714204175851
RORB-AS1	5.31910003671523
RNU4-2	5.27328956194425
SNORD116-29	5.27313747595444
SNORD11	5.25852908944457
SNORD46	5.25834211272914
EPS8L1	5.15712870529796
SNORD116-7	5.13511103565784
RNU1-148P	5.12082881105465
RNU5F-1	5.11342049805491
SNORD116-5	5.10866779113674
CDKN2B-AS1	5.098112778096
RPL13	5.07664561474584
LINC00273	5.06846498597438
RNU12	5.04057177327115
HSPA1B	5.03082269583605
LINC03040	5.02081695914157
SNORD96A	5.01708191806993
RNU2-62P	4.9938157597358
SNORA68	4.96426009597303
SNORD116-25	4.94732925581203
SNORA70	4.93890155027723
SNORA4	4.90719287340059
VGF	4.82915940651295
RNU5A-1	4.82528700478493
RELN	4.80938878328365
SNORD32A	4.79407273889687
MYO3A	4.77773583271924
RNU1-83P	4.77280830530434
SNHG32	4.76171166203435
SNORD92	4.75264869525934
TMC5	4.70492416266783
LINC01153	4.69575846223222
SNORD116-18	4.63123235391808
SNORD7	4.62164713434964
SNORA3A	4.61524463789837
TEP1	4.59266249568221
SNORD116-1	4.54488371663505
HSPA5	4.53079383550707
SNORD116-8	4.52123732070078
SNORD116-15	4.48796537344669
SNORD118	4.46422713083111
RNVU1-8	4.45904716568314
RNU1-139P	4.39400400667625
SNORD115-23	4.37534145780292
RNA5-8SN1	4.35399607360158
SNORA5C	4.32723182466662
LINC00689	4.30715069890967
RNA5-8SN2	4.30655444321927
RNA5-8SN3	4.28291904629061
SNORA14A	4.25020662269019
MIR223	4.21907018118357
SNORD116-27	4.20916939338941
MIR451B	4.20394055976274
RNVU1-17	4.19247977247574
SNORA21	4.18350737568018
TNPO2	4.17714655300793
RNU5E-1	4.17297080719424
SNORD71	4.14121405555693
SNORD41	4.13770914355971
SNORD14B	4.12771927789127
SNORA66	4.08972364761213
SNORD13	4.0472940790814
RNU1-1	4.0442175644466
LDLR	4.01459007288348
SNORA13	4.00814682083673
RNU1-32P	4.00326347535991
SNORA14B	3.97657876480865
HIC1	3.94958678746491
RNU5B-1	3.93792468374553
SNORD127	3.91618735837232
PACRG-AS1	3.86393701215992
RNU2-29P	3.84336551086734
SNORD115-48	3.80767512646205
SCARNA7	3.79319459153336
SNORD115-41	3.78863717809875
SNORD50B	3.71993310014274
SNORA80B	3.71992966545062
SNORD116-12	3.71159636557615
SCARNA10	3.71075331123501
LINC02542	3.70877142381278
SNORA53	3.69307259541706
SNORA5A	3.67560843673169
ADAMTS8	3.67393020296445
SOX12	3.67333068867586
MIR144	3.67121524103891
DNAJB1	3.66422088786899
HSPB1	3.65349176288925
SNORD105B	3.62232631228689
RNU2-50P	3.61302052811879
RGPD5	3.61079758848429
SPP1	3.6095877978659
RNU2-14P	3.60520463212996
RNU1-46P	3.60133118104787
RNU11	3.58300850519803
BMP8B	3.5629890674337
SNHG17	3.54430776622293
PNMT	3.54181043221052
NPAS4	3.54160993590686
RNU1-28P	3.53991061555044
RNU4-1	3.53110684270016
SNORD90	3.52375766046415
SNORD115-35	3.49501719211302
SNORD113-7	3.4920934894563
SNHG5	3.47883013685774
HNRNPUL2-BSCL2	3.47029989877603
SLC35F3	3.47016206174168
SNORA38	3.46937156719666
WDR70	3.45335533401257
SNORA9	3.45208893906427
SNORD3B-2	3.43640893728024
SNORA6	3.42798263293285
PLA2R1	3.41540653898539
SNORD116-16	3.39980717492586
SLC25A25	3.39680516353198
